gov_census_pid6,gov_fips_state,gov_fips_county,gov_fips_place,gov_host_county,gov_unit_name,gov_unit_type,gov_function_type,school_district_type,gov_address_street,gov_address_street2,gov_address_city,gov_address_state,gov_address_zip,gov_address_zip4,gov_website,gov_unit_name_alias
183793,41,001,99001,BAKER,COUNTY OF BAKER,County,,,1995 3RD ST,,BAKER CITY,OR,97814,3398,http://www.bakercounty.org,Baker County
209184,41,003,99003,BENTON,COUNTY OF BENTON,County,,,PO BOX 3020,,CORVALLIS,OR,97339,3020,http://www.co.benton.or.us/,Benton County
173610,41,005,99005,CLACKAMAS,COUNTY OF CLACKAMAS,County,,,2051 KAEN RD,STE 491,OREGON CITY,OR,97045,4035,http://www.clackamas.us,Clackamas County
209185,41,007,99007,CLATSOP,COUNTY OF CLATSOP,County,,,800 EXCHANGE ST,STE 310,ASTORIA,OR,97103,4641,http://www.co.clatsop.or.us/,Clatsop County
173611,41,009,99009,COLUMBIA,COUNTY OF COLUMBIA,County,,,230 STRAND ST,,SAINT HELENS,OR,97051,,http://www.co.columbia.or.us/,Columbia County
133194,41,011,99011,COOS,COUNTY OF COOS,County,,,250 N BAXTER ST,,COQUILLE,OR,97423,1878,http://www.co.coos.or.us/,Coos County
187138,41,013,99013,CROOK,COUNTY OF CROOK,County,,,200 NE 2RD ST,,PRINEVILLE,OR,97754,,http://www.co.crook.or.us/,Crook County
173612,41,015,99015,CURRY,COUNTY OF CURRY,County,,,94235 MOORE ST,SUITE 122,GOLD BEACH,OR,97444,9699,http://www.co.curry.or.us/,Curry County
173613,41,017,99017,DESCHUTES,COUNTY OF DESCHUTES,County,,,1300 NW WALL ST,STE 206,BEND,OR,97703,,http://www.deschutes.org/,Deschutes County
133195,41,019,99019,DOUGLAS,COUNTY OF DOUGLAS,County,,,1036 SE DOUGLAS AVE,,ROSEBURG,OR,97470,3368,http://www.co.douglas.or.us/,Douglas County
111584,41,021,99021,GILLIAM,COUNTY OF GILLIAM,County,,,PO BOX 427,,CONDON,OR,97823,0427,http://www.co.gilliam.or.us,Gilliam County
173614,41,023,99023,GRANT,COUNTY OF GRANT,County,,,201 S HUMBOLT ST,STE 280,CANYON CITY,OR,97820,6192,http://www.gcoregonlive2.com,Grant County
193955,41,025,99025,HARNEY,COUNTY OF HARNEY,County,,,450 N BUENA VISTA AVE,,BURNS,OR,97720,1533,http://www.co.harney.or.us/,Harney County
133196,41,027,99027,HOOD RIVER,COUNTY OF HOOD RIVER,County,,,601 STATE ST,,HOOD RIVER,OR,97031,1899,http://www.co.hood-river.or.us/,Hood River County
173615,41,029,99029,JACKSON,COUNTY OF JACKSON,County,,,10 S OAKDALE AVE,RM 214,MEDFORD,OR,97501,2992,http://www.co.jackson.or.us/,Jackson County
173616,41,031,99031,JEFFERSON,COUNTY OF JEFFERSON,County,,,66 SE D ST,STE A,MADRAS,OR,97741,1621,http://www.co.jefferson.or.us,Jefferson County
173617,41,033,99033,JOSEPHINE,COUNTY OF JOSEPHINE,County,,,500 NW 6TH ST,DEPT 6,GRANTS PASS,OR,97526,2065,http://www.co.josephine.or.us/,Josephine County
111585,41,035,99035,KLAMATH,COUNTY OF KLAMATH,County,,,305 MAIN ST,STE 224,KLAMATH FALLS,OR,97601,6332,http://www.klamathcounty.org,Klamath County
133197,41,037,99037,LAKE,COUNTY OF LAKE,County,,,513 CENTER ST,213,LAKEVIEW,OR,97630,1579,http://www.lakecountyor.org/,Lake County
173618,41,039,99039,LANE,COUNTY OF LANE,County,,,125 E 8TH AVE,,EUGENE,OR,97401,2923,http://www.lanecounty.org,Lane County
173619,41,041,99041,LINCOLN,COUNTY OF LINCOLN,County,,,225 W OLIVE ST,STE 110,NEWPORT,OR,97365,3811,http://www.co.lincoln.or.us/,Lincoln County
202429,41,043,99043,LINN,COUNTY OF LINN,County,,,PO BOX 100,,ALBANY,OR,97321,0031,http://www.co.linn.or.us/,Linn County
133198,41,045,99045,MALHEUR,COUNTY OF MALHEUR,County,,,251 B ST W,STE 5,VALE,OR,97918,1375,http://www.malheurco.org/,Malheur County
133199,41,047,99047,MARION,COUNTY OF MARION,County,,,PO BOX 14500,,SALEM,OR,97309,5036,http://co.marion.or.us/,Marion County
173620,41,049,99049,MORROW,COUNTY OF MORROW,County,,,PO BOX 788,,HEPPNER,OR,97836,0788,http://www.morrowcountyoregon.com/,Morrow County
173621,41,051,99051,MULTNOMAH,COUNTY OF MULTNOMAH,County,,,501 SE HAWTHORNE BLVD,STE 600,PORTLAND,OR,97214,3588,http://www.multco.us,Multnomah County
173622,41,053,99053,POLK,COUNTY OF POLK,County,,,850 MAIN ST,,DALLAS,OR,97338,3147,http://www.co.polk.or.us/,Polk County
193956,41,055,99055,SHERMAN,COUNTY OF SHERMAN,County,,,PO BOX 365,,MORO,OR,97039,0365,http://www.sherman-county.com/,Sherman County
111587,41,057,99057,TILLAMOOK,COUNTY OF TILLAMOOK,County,,,201 LAUREL AVE,,TILLAMOOK,OR,97141,2381,http://www.co.tillamook.or.us/,Tillamook County
183795,41,059,99059,UMATILLA,COUNTY OF UMATILLA,County,,,216 SE 4TH ST,RM 104,PENDLETON,OR,97801,2699,http://www.umatillacounty.net,Umatilla County
209186,41,061,99061,UNION,COUNTY OF UNION,County,,,1106 K AVE,,LA GRANDE,OR,97850,2131,http://www.unioncounty.org,Union County
173623,41,063,99063,WALLOWA,COUNTY OF WALLOWA,County,,,101 S RIVER ST,,ENTERPRISE,OR,97828,1363,http://www.wallowa.co.or.us,Wallowa County
133200,41,065,99065,WASCO,COUNTY OF WASCO,County,,,2705 E 2ND ST,,THE DALLES,OR,97058,,http://www.co.wasco.or.us/,Wasco County
173624,41,067,99067,WASHINGTON,COUNTY OF WASHINGTON,County,,,155 N 1ST AVE,STE 300,HILLSBORO,OR,97124,3072,http://www.co.washington.or.us,Washington County
173625,41,069,99069,WHEELER,COUNTY OF WHEELER,County,,,PO BOX 447,,FOSSIL,OR,97830,0447,http://www.wheelercountyoregon.gov,Wheeler County
183794,41,071,99071,YAMHILL,COUNTY OF YAMHILL,County,,,535 NE 5TH ST,,MCMINNVILLE,OR,97128,4523,http://www.co.yamhill.or.us/,Yamhill County
