ocd_id,role,office_position,partisan_election,occupation_method,term_length
ocd-division/country:us/state:or,US Senator,,Partisan,Election,6
ocd-division/country:us/state:or,US Senator,,Partisan,Election,6
ocd-division/country:us/state:or,Attorney General,,Partisan,Election,4
ocd-division/country:us/state:or,Commissioner of the Bureau of Labor and Industries,,Non-partisan,Election,4
ocd-division/country:us/state:or,Governor,,Partisan,Election,4
ocd-division/country:us/state:or,Secretary of State,,Partisan,Election,2
ocd-division/country:us/state:or,State Treasurer,,Partisan,Election,4
ocd-division/country:us/state:or,Justice of the State Supreme Court,Position 1,Non-partisan,Election,2
ocd-division/country:us/state:or,Justice of the State Supreme Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or,Justice of the State Supreme Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or,Justice of the State Supreme Court,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or,Justice of the State Supreme Court,Position 5,Non-partisan,Election,2
ocd-division/country:us/state:or,Justice of the State Supreme Court,Position 6,Non-partisan,Election,6
ocd-division/country:us/state:or,Justice of the State Supreme Court,Position 7,Non-partisan,Election,2
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 10,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 11,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 12,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 13,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 2,Non-partisan,Election,2
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 5,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 6,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 7,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 8,Non-partisan,Election,6
ocd-division/country:us/state:or,Judge of the Court of Appeals,Position 9,Non-partisan,Election,6
ocd-division/country:us/state:or/cd:district_1,US Representative,,Partisan,Election,2
ocd-division/country:us/state:or/cd:district_2,US Representative,,Partisan,Election,2
ocd-division/country:us/state:or/cd:district_3,US Representative,,Partisan,Election,2
ocd-division/country:us/state:or/cd:district_4,US Representative,,Partisan,Election,2
ocd-division/country:us/state:or/cd:district_5,US Representative,,Partisan,Election,2
ocd-division/country:us/state:or/cd:district_6,US Representative,,Partisan,Election,2
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 1,Non-partisan,Election,4
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 10,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 6,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 7,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 8,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_1,Judge of the Circuit Court,Position 9,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_10,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_10,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 5,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 6,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 7,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 8,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_11,Judge of the Circuit Court,Position 9,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_12,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_12,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_12,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_13,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_13,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_13,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_13,Judge of the Circuit Court,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_13,Judge of the Circuit Court,Position 5,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_14,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_14,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_14,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_14,Judge of the Circuit Court,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_14,Judge of the Circuit Court,Position 5,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_15,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_15,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_15,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_15,Judge of the Circuit Court,Position 4,Non-partisan,Election,2
ocd-division/country:us/state:or/circuit_court:district_15,Judge of the Circuit Court,Position 5,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_15,Judge of the Circuit Court,Position 6,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_16,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_16,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_16,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_16,Judge of the Circuit Court,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_16,Judge of the Circuit Court,Position 5,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_17,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_17,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_17,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_18,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_18,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_18,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_19,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_19,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_19,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 10,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 11,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 12,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 13,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 14,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 15,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 5,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 6,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 7,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 8,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_2,Judge of the Circuit Court,Position 9,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 10,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 11,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 12,,Election,1
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 13,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 14,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 15,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 4,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 5,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 6,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 7,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 8,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_20,Judge of the Circuit Court,Position 9,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_21,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_21,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_21,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_22,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_22,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_22,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_23,Judge of the Circuit Court,Position 1,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_23,Judge of the Circuit Court,Position 2,Non-partisan,Election,6
ocd-division/country:us/state:or/circuit_court:district_23,Judge of the Circuit Court,Position 3,Non-partisan,Election,6
